#Source_name;Variability_index;ASSOC1;ASSOC2;ASSOC_TEV;CLASS1;Flags
3FGL J0046.7-8419;62.9835;PKS 0044-84;;;fsrq;0
3FGL J0047.0+5658;74.4384;GB6 J0047+5657;;;bll;4
3FGL J0047.5-2516;57.5099;NGC 253;;NGC 253;sbg;0
3FGL J0047.9+5447;29.8895;1RXS J004754.5+544758;;;bcu;0
3FGL J0048.0+3950;67.3645;B3 0045+395;;;bll;0
3FGL J0048.0+2236;240.662;NVSS J004802+223525;;;fsrq;0
3FGL J0048.1-6343;51.9539;;;;;0
3FGL J0049.0+4224;35.6061;;;;;0
3FGL J0049.4-5401;44.9655;PMN J0049-5402;;;bcu;0
3FGL J0049.4-4149;31.8083;1RXS J004939.9-415133;;;bcu;0
3FGL J0049.7+0237;87.9803;PKS 0047+023;;;bll;0
3FGL J0049.8-5737;51.4903;PKS 0047-579;;;fsrq;0
3FGL J0050.0-4458;68.5262;PMN J0049-4457;;;bcu;0
3FGL J0050.4-0449;62.9068;PKS 0047-051;;;fsrq;0
3FGL J0050.6-0929;311.907;PKS 0048-09;;;BLL;0
3FGL J0051.0-0649;268.096;PKS 0048-071;;;fsrq;0
3FGL J0051.2-6241;50.1819;1RXS J005117.7-624154;;;bcu;0
3FGL J0051.6+6445;44.1558;;;;;12
3FGL J0054.8-2455;47.1831;FRBA J0054-2455;;;bll;0
3FGL J0055.2-1213;68.7913;TXS 0052-125;;;bcu;0
3FGL J0056.3-2116;60.0133;PMN J0056-2117;;;bll;0
3FGL J0056.3-0935;55.5239;TXS 0053-098;;;bll;0
3FGL J0057.9-0542;43.4454;PKS 0055-059;;;fsrq;1
3FGL J0058.0-3233;63.9912;PKS 0055-328;;;bll;0
3FGL J0058.3+3315;112.817;MG3 J005830+3311;;;fsrq;0
3FGL J0059.0-7242e;43.8994;SMC;;;GAL;4
3FGL J0059.1-5701;64.3691;PKS 0056-572;;;bcu;4
3FGL J0059.2-0152;37.2186;1RXS J005916.3-015030;;;bll;0
3FGL J0059.6+0003;52.172;PKS 0056-00;;;fsrq;0
3FGL J0100.2+0745;91.4945;GB6 J0100+0745;;;bll;0
3FGL J0101.0-6422;55.3225;PSR J0101-6422;;;PSR;0
3FGL J0102.1+4458;40.7317;;;;;0
3FGL J0102.1+0943;41.7413;;;;;256
3FGL J0102.3+4217;101.963;GB6 J0102+4214;;;fsrq;0
3FGL J0102.8+4840;55.009;PSR J0102+4839;;;PSR;0
3FGL J0102.8+5825;1492.68;TXS 0059+581;;;fsrq;0
3FGL J0103.4+5336;46.2937;1RXS J010325.9+533721;;;bll;0
3FGL J0103.7+1323;52.767;NVSS J010345+132346;;;bcu;0
3FGL J0105.1-2415;91.4571;PKS 0102-245;;;fsrq;0
3FGL J0105.3+3928;65.603;GB6 J0105+3928;;;bll;0
